Raman_Shift Original_Spectrum Predicted_Raman Predicted_Baseline
294.894650 27973.000000 212.919037 27262.585938
297.232540 27944.000000 241.534912 26943.585938
299.568300 27828.000000 244.123749 27029.619141
301.905240 27852.000000 226.396774 27351.351562
304.238400 27971.000000 235.695312 27623.761719
306.571040 27747.000000 238.426193 27562.603516
308.903260 28060.000000 231.590866 27569.513672
311.233340 28121.000000 223.602325 27600.322266
313.562930 27834.000000 225.801071 27533.916016
315.890440 27948.000000 235.675980 27514.798828
318.215790 27797.000000 254.183151 27551.201172
320.540680 27842.000000 279.739807 27552.783203
322.865110 27935.000000 305.362000 27578.726562
325.187410 27933.000000 329.856720 27562.894531
327.509250 28046.000000 356.567627 27617.777344
329.828920 28250.000000 390.685638 27650.154297
332.148160 28255.000000 428.560242 27743.947266
334.465270 28355.000000 476.731689 27821.162109
336.781950 28685.000000 532.812866 27912.197266
339.096470 28529.000000 602.140869 27965.998047
341.408870 28869.000000 684.330505 28077.878906
343.722530 29131.000000 777.738037 28169.324219
346.032350 29458.000000 884.262512 28309.132812
348.341740 29622.000000 1014.181335 28407.972656
350.650670 29966.000000 1173.678833 28599.078125
352.957460 30272.000000 1353.223267 28762.146484
355.263760 30788.000000 1532.119263 28951.044922
357.568020 30836.000000 1724.015015 29059.509766
359.871800 31164.000000 1933.388916 29237.320312
362.173430 31488.000000 2161.196533 29344.800781
364.474640 31747.000000 2372.880859 29488.595703
366.773710 31769.000000 2545.842773 29552.847656
369.072360 31722.000000 2713.776611 29667.429688
371.368870 31774.000000 2831.340332 29718.046875
373.664920 31787.000000 2901.393799 29817.349609
375.958890 31901.000000 2869.903809 29850.203125
378.252380 31948.000000 2778.033691 29926.425781
380.543790 31973.000000 2628.667236 29940.882812
382.834750 31993.000000 2472.247559 29995.552734
385.123570 31998.000000 2277.083740 29961.068359
387.411960 31928.000000 2039.783447 29965.173828
389.698210 31688.000000 1804.209961 29928.677734
391.984070 31552.000000 1610.764893 29935.955078
394.267790 31102.000000 1423.659790 29872.550781
396.551060 30879.000000 1219.855347 29857.300781
398.832210 30556.000000 1032.686279 29819.550781
401.112950 30458.000000 884.305786 29810.384766
403.391570 30361.000000 750.364380 29735.777344
405.669770 30322.000000 649.864319 29698.537109
407.945860 30241.000000 575.741516 29657.449219
410.221470 30078.000000 518.913086 29638.812500
412.495030 29962.000000 464.151123 29569.708984
414.768100 29836.000000 410.727295 29554.105469
417.039090 29784.000000 362.084351 29531.000000
419.309630 29766.000000 326.696960 29534.527344
421.579740 29737.000000 304.852753 29491.355469
423.846100 29876.000000 293.762177 29498.427734
426.113680 29809.000000 292.262817 29498.324219
428.377470 29791.000000 300.162262 29520.816406
430.642520 29833.000000 308.896942 29492.710938
432.905460 29823.000000 311.359802 29502.757812
435.166320 29964.000000 309.385193 29496.382812
437.426700 29846.000000 313.473389 29517.652344
439.685060 29856.000000 320.838776 29488.066406
441.942900 29716.000000 330.822571 29504.533203
444.198730 29897.000000 341.886871 29498.816406
446.454070 29884.000000 355.456238 29517.322266
448.708980 29849.000000 368.859558 29484.742188
450.961820 29875.000000 383.454102 29502.121094
453.212550 29809.000000 397.474915 29497.386719
455.462890 29906.000000 417.589752 29512.650391
457.711120 29978.000000 442.277435 29485.666016
459.958920 29839.000000 459.395996 29507.064453
462.204590 29988.000000 473.789612 29507.876953
464.449890 30022.000000 490.675385 29522.378906
466.694760 30044.000000 515.341431 29498.115234
468.937500 29812.000000 547.022827 29520.882812
471.178160 29983.000000 578.126343 29512.281250
473.418460 30031.000000 609.604370 29528.791016
475.656620 30006.000000 659.086060 29498.925781
477.894380 30146.000000 710.769409 29500.289062
480.131680 30012.000000 742.527710 29484.564453
482.366910 30120.000000 773.341553 29504.714844
484.600040 30077.000000 812.560059 29463.548828
486.832790 30234.000000 866.096863 29446.175781
489.063450 30377.000000 946.864258 29413.066406
491.293670 30522.000000 1043.075195 29405.324219
493.523500 30373.000000 1173.520630 29368.876953
495.751190 30746.000000 1348.041626 29375.660156
497.976840 31211.000000 1547.858032 29426.433594
500.202090 31445.000000 1832.067017 29496.812500
502.426910 32043.000000 2234.968262 29580.324219
504.649660 32653.000000 2844.252197 29717.474609
506.870270 33596.000000 3744.984863 29882.726562
509.090550 34461.000000 4938.245605 30135.085938
511.310360 35871.000000 6291.039062 30309.613281
513.528140 37022.000000 7581.002441 30257.990234
515.743770 37508.000000 8140.223633 30156.330078
517.959110 37142.000000 7650.963379 30119.498047
520.173890 35773.000000 6400.208984 30037.712891
522.386660 34221.000000 4959.774414 29873.365234
524.597410 33047.000000 3770.357422 29688.830078
526.807740 31899.000000 2963.462158 29590.328125
529.017580 31138.000000 2411.665283 29379.308594
531.225400 30623.000000 2038.062134 29248.671875
533.431210 30237.000000 1745.538696 29157.605469
535.636470 29987.000000 1574.671875 29091.210938
537.841430 29714.000000 1433.083252 28980.582031
540.044310 29835.000000 1330.008179 28862.285156
542.245120 29864.000000 1294.128662 28801.171875
544.445500 29828.000000 1293.742310 28751.769531
546.645450 29727.000000 1317.411377 28673.265625
548.843380 29751.000000 1351.655762 28635.730469
551.040830 30006.000000 1379.461548 28610.531250
553.236330 29991.000000 1444.129639 28614.398438
555.429690 30242.000000 1555.145508 28586.679688
557.622680 30466.000000 1714.120483 28626.949219
559.815250 30858.000000 1973.914673 28693.314453
562.005800 31396.000000 2341.450684 28820.597656
564.195920 31737.000000 2832.206543 28913.976562
566.383910 32481.000000 3415.044922 28993.246094
568.569950 33245.000000 3966.216797 29027.740234
570.755550 33371.000000 4381.247070 29057.199219
572.940730 33419.000000 4384.840332 28977.757812
575.123900 32750.000000 4014.480957 28898.291016
577.306640 32235.000000 3403.509766 28831.714844
579.487300 31562.000000 2862.706055 28820.287109
581.665950 31118.000000 2392.188232 28713.974609
583.844120 30849.000000 2066.147461 28612.255859
586.021970 30298.000000 1841.927734 28499.173828
588.197750 30121.000000 1714.510986 28437.195312
590.373170 30094.000000 1642.311157 28313.548828
592.546450 30021.000000 1574.691772 28226.328125
594.719420 29784.000000 1540.074951 28197.152344
596.890260 30006.000000 1544.142822 28153.273438
599.059140 29805.000000 1577.514160 28085.917969
601.229190 29774.000000 1676.501221 28025.689453
603.395570 29987.000000 1724.346680 28025.648438
605.561580 29976.000000 1781.878174 28038.587891
607.727170 30106.000000 1867.264282 28005.625000
609.890750 30345.000000 1969.928467 27992.544922
612.053960 30485.000000 2126.554932 28023.398438
614.215030 30654.000000 2313.384277 28089.337891
616.375790 31069.000000 2582.686035 28074.935547
618.534480 31005.000000 2943.382324 28028.292969
620.692750 31583.000000 3321.476074 28025.080078
622.849000 32003.000000 3815.240234 28077.212891
625.004820 32082.000000 4403.909180 28102.777344
627.158750 32842.000000 5282.569824 28039.152344
629.310490 33514.000000 6040.285645 28055.806641
631.463560 34482.000000 7172.347656 28123.964844
633.612920 35510.000000 8428.439453 28316.281250
635.763490 37173.000000 10492.412109 28389.300781
637.910460 39099.000000 12377.462891 28565.212891
640.058650 42040.000000 15429.460938 28884.304688
642.203190 45737.000000 18403.730469 29376.425781
644.348880 51211.000000 23412.513672 30164.000000
646.491030 57567.000000 28622.878906 30923.980469
648.634400 64717.000000 36280.281250 31369.859375
650.774050 71685.000000 42774.945312 31467.351562
652.914980 76653.000000 47379.820312 30725.292969
655.052250 77009.000000 46511.382812 30292.814453
657.190730 72865.000000 40979.734375 29749.253906
659.325620 66769.000000 35542.750000 29550.546875
661.461730 60403.000000 29910.847656 28971.832031
663.594180 54601.000000 25798.667969 29289.777344
665.727910 50271.000000 22136.400391 29832.613281
667.857910 46970.000000 19390.427734 29688.396484
669.989200 44284.000000 16652.781250 29691.113281
672.118470 42184.000000 14679.382812 30020.917969
674.245670 40118.000000 12545.154297 30100.648438
676.372560 38625.000000 10986.667969 29965.878906
678.497380 37275.000000 9143.500977 29799.837891
680.621830 35966.000000 7688.274902 29920.574219
682.744320 35003.000000 6343.899414 29797.568359
684.866390 34155.000000 5472.164551 29520.710938
686.986450 33468.000000 4711.335449 29372.832031
689.106080 32900.000000 4128.470215 29368.589844
691.223750 32451.000000 3735.046387 29293.701172
693.341000 32281.000000 3464.768066 29109.292969
695.457820 32129.000000 3276.336670 29036.800781
