Raman_Shift Original_Spectrum Predicted_Raman Predicted_Baseline
294.894650 50644.000000 33.304207 50819.234375
297.232540 50713.000000 35.151787 50822.441406
299.568300 50602.000000 38.466316 50828.234375
301.905240 50780.000000 41.782707 50838.261719
304.238400 50722.000000 46.760803 50850.882812
306.571040 50712.000000 51.381279 50864.656250
308.903260 51409.000000 56.400288 50882.316406
311.233340 51401.000000 62.704803 50900.070312
313.562930 51108.000000 69.032730 50918.695312
315.890440 51046.000000 76.330101 50940.117188
318.215790 50735.000000 83.720444 50961.472656
320.540680 50931.000000 92.770096 50985.558594
322.865110 51070.000000 102.381599 51013.257812
325.187410 50800.000000 113.046181 51044.910156
327.509250 51145.000000 124.813858 51080.828125
329.828920 51339.000000 138.548370 51122.308594
332.148160 51433.000000 153.631927 51166.097656
334.465270 51563.000000 174.424362 51212.031250
336.781950 51538.000000 195.921585 51257.972656
339.096470 51417.000000 222.159744 51302.500000
341.408870 51649.000000 251.368530 51346.750000
343.722530 51552.000000 279.634705 51392.031250
346.032350 51939.000000 311.182434 51435.960938
348.341740 51668.000000 349.358215 51476.593750
350.650670 52182.000000 394.437836 51517.625000
352.957460 52036.000000 442.670166 51559.109375
355.263760 52331.000000 490.952545 51601.597656
357.568020 51997.000000 538.827515 51645.351562
359.871800 52190.000000 581.188049 51688.667969
362.173430 52335.000000 610.584595 51732.929688
364.474640 52648.000000 634.765808 51776.851562
366.773710 52416.000000 652.248474 51819.632812
369.072360 51951.000000 664.552124 51860.175781
371.368870 52290.000000 674.952515 51898.312500
373.664920 52170.000000 683.019409 51931.832031
375.958890 52487.000000 684.114441 51960.617188
378.252380 52577.000000 682.878174 51986.664062
380.543790 52647.000000 676.675903 52010.187500
382.834750 52562.000000 667.907776 52030.332031
385.123570 52578.000000 650.438538 52047.144531
387.411960 52676.000000 625.820435 52062.171875
389.698210 52795.000000 593.262207 52076.542969
391.984070 52899.000000 552.718384 52091.292969
394.267790 52656.000000 505.660645 52106.523438
396.551060 52618.000000 455.652679 52122.554688
398.832210 52531.000000 410.042572 52139.085938
401.112950 52725.000000 369.403076 52155.648438
403.391570 52971.000000 330.114471 52171.332031
405.669770 52755.000000 298.570953 52186.773438
407.945860 52990.000000 270.080109 52200.531250
410.221470 52613.000000 243.944092 52215.023438
412.495030 52683.000000 218.697586 52230.152344
414.768100 52674.000000 197.132004 52243.636719
417.039090 52556.000000 177.434174 52255.289062
419.309630 52472.000000 160.524231 52266.765625
421.579740 52346.000000 147.379913 52277.246094
423.846100 52356.000000 136.026398 52288.550781
426.113680 52304.000000 125.642944 52299.546875
428.377470 52476.000000 116.285324 52310.359375
430.642520 52210.000000 108.069237 52321.312500
432.905460 52503.000000 102.257286 52331.886719
435.166320 52581.000000 97.722107 52342.242188
437.426700 52548.000000 94.770134 52351.261719
439.685060 52484.000000 92.846703 52357.593750
441.942900 52209.000000 90.264694 52362.984375
444.198730 52529.000000 86.216583 52368.468750
446.454070 52550.000000 82.543167 52373.949219
448.708980 52378.000000 79.982925 52379.187500
450.961820 52645.000000 77.654610 52383.441406
453.212550 52291.000000 74.727020 52385.835938
455.462890 52593.000000 71.213585 52385.808594
457.711120 52516.000000 68.551804 52382.257812
459.958920 52557.000000 67.650383 52376.917969
462.204590 52463.000000 65.679398 52369.832031
464.449890 52410.000000 63.641212 52361.164062
466.694760 52593.000000 62.369579 52350.835938
468.937500 52416.000000 61.385216 52340.750000
471.178160 52526.000000 62.405128 52330.566406
473.418460 52501.000000 63.134987 52320.074219
475.656620 52327.000000 64.080200 52309.410156
477.894380 52495.000000 65.252357 52298.234375
480.131680 52263.000000 71.119728 52285.484375
482.366910 52321.000000 77.597458 52267.843750
484.600040 52371.000000 84.843445 52244.570312
486.832790 52448.000000 92.048195 52218.085938
489.063450 52588.000000 100.805901 52188.648438
491.293670 52671.000000 110.546280 52153.816406
493.523500 52339.000000 123.653976 52113.828125
495.751190 52451.000000 149.299683 52070.363281
497.976840 52487.000000 185.116241 52023.589844
500.202090 52378.000000 231.273392 51972.394531
502.426910 52226.000000 290.274597 51917.429688
504.649660 52338.000000 367.702911 51858.996094
506.870270 52277.000000 457.402649 51797.507812
509.090550 51935.000000 558.984497 51731.613281
511.310360 52266.000000 655.734497 51661.203125
513.528140 52387.000000 710.130798 51589.214844
515.743770 52171.000000 672.712341 51515.675781
517.959110 52130.000000 562.347534 51439.496094
520.173890 51868.000000 427.361145 51362.210938
522.386660 51591.000000 315.379272 51286.562500
524.597410 51415.000000 239.140305 51212.855469
526.807740 51193.000000 188.176056 51143.894531
529.017580 51247.000000 152.768188 51081.191406
531.225400 51366.000000 126.193558 51019.929688
533.431210 50977.000000 107.177284 50960.316406
535.636470 50933.000000 93.534683 50906.707031
537.841430 50825.000000 84.011505 50858.023438
540.044310 51078.000000 79.643906 50813.320312
542.245120 51318.000000 77.526711 50772.601562
544.445500 51026.000000 76.749863 50737.714844
546.645450 50689.000000 76.053482 50709.882812
548.843380 50689.000000 74.973816 50684.164062
551.040830 50787.000000 75.073349 50660.500000
553.236330 50877.000000 76.487221 50640.328125
555.429690 50868.000000 80.582092 50623.527344
557.622680 50914.000000 86.252083 50608.570312
559.815250 50863.000000 96.934006 50595.328125
562.005800 50975.000000 114.277267 50584.652344
564.195920 50576.000000 147.222626 50576.488281
