Raman_Shift Original_Spectrum Predicted_Raman Predicted_Baseline
294.894650 55871.000000 7.191083 55534.894531
297.232540 55583.000000 6.667273 55529.957031
299.568300 55592.000000 6.090331 55530.632812
301.905240 55670.000000 5.399681 55526.097656
304.238400 55557.000000 5.077075 55520.355469
306.571040 55454.000000 5.181934 55510.835938
308.903260 55965.000000 5.329042 55501.867188
311.233340 55798.000000 6.089164 55489.890625
313.562930 55466.000000 7.206072 55477.523438
315.890440 55481.000000 8.266529 55468.628906
318.215790 55142.000000 9.112160 55465.742188
320.540680 55133.000000 9.250021 55470.378906
322.865110 55112.000000 8.832518 55482.800781
325.187410 55138.000000 7.931403 55503.371094
327.509250 55404.000000 7.269919 55534.257812
329.828920 55524.000000 7.008482 55578.714844
332.148160 55427.000000 7.285258 55628.796875
334.465270 55715.000000 8.402697 55684.660156
336.781950 55760.000000 9.623623 55749.566406
339.096470 55525.000000 11.525918 55821.222656
341.408870 55633.000000 12.664014 55900.449219
343.722530 55698.000000 13.287137 55988.550781
346.032350 56216.000000 13.355168 56082.187500
348.341740 56279.000000 14.463617 56179.242188
350.650670 56599.000000 16.122997 56277.910156
352.957460 56465.000000 19.872766 56376.507812
355.263760 56747.000000 24.648693 56479.921875
357.568020 56652.000000 31.146246 56587.203125
359.871800 56759.000000 40.339375 56696.527344
362.173430 56947.000000 54.704597 56808.417969
364.474640 57325.000000 67.008469 56921.863281
366.773710 57294.000000 77.336151 57036.410156
369.072360 57074.000000 83.069344 57151.906250
371.368870 57166.000000 87.768303 57268.406250
373.664920 57255.000000 93.416519 57384.433594
375.958890 57715.000000 104.781372 57498.199219
378.252380 57705.000000 117.207321 57607.898438
380.543790 57895.000000 135.231064 57713.429688
382.834750 57991.000000 158.180954 57814.257812
385.123570 58135.000000 178.903885 57909.820312
387.411960 58247.000000 185.079071 58002.992188
389.698210 58253.000000 160.046967 58093.632812
391.984070 58447.000000 137.181290 58181.136719
394.267790 58407.000000 107.296082 58264.386719
396.551060 58451.000000 85.172829 58344.062500
398.832210 58443.000000 61.778923 58420.050781
401.112950 58590.000000 47.878429 58491.734375
403.391570 58943.000000 34.510765 58558.718750
405.669770 58586.000000 30.967281 58619.738281
407.945860 58919.000000 26.920486 58676.214844
410.221470 58987.000000 26.376759 58727.144531
412.495030 58922.000000 24.969936 58771.394531
414.768100 59010.000000 26.031063 58810.796875
417.039090 58989.000000 26.374933 58845.218750
419.309630 58774.000000 27.351124 58874.238281
421.579740 58818.000000 28.295395 58898.351562
423.846100 58661.000000 27.649288 58918.773438
426.113680 58974.000000 26.457565 58935.636719
428.377470 59136.000000 24.818890 58948.812500
430.642520 58670.000000 23.387259 58956.945312
432.905460 59141.000000 23.856915 58962.175781
435.166320 59135.000000 24.084949 58966.515625
437.426700 58937.000000 23.938807 58966.679688
439.685060 59231.000000 24.085115 58964.632812
441.942900 58983.000000 24.851135 58961.488281
444.198730 59138.000000 24.922262 58958.222656
446.454070 59221.000000 24.917522 58954.933594
448.708980 58958.000000 25.534939 58952.343750
450.961820 59238.000000 26.837769 58951.011719
453.212550 58931.000000 30.194530 58950.476562
455.462890 58942.000000 34.078564 58948.546875
457.711120 59041.000000 37.895191 58944.875000
459.958920 58994.000000 39.999405 58938.855469
462.204590 59081.000000 43.907841 58931.394531
464.449890 58928.000000 47.888512 58922.808594
466.694760 59281.000000 52.084969 58912.195312
468.937500 58953.000000 57.290352 58900.742188
471.178160 58978.000000 63.487080 58889.718750
473.418460 58965.000000 71.246323 58875.148438
