Raman_Shift Original_Spectrum Predicted_Raman Predicted_Baseline
294.894650 52293.000000 281.758270 51552.746094
297.232540 52177.000000 303.655090 51291.179688
299.568300 52190.000000 314.878906 51338.847656
301.905240 52235.000000 295.191803 51567.210938
304.238400 52327.000000 312.386780 51762.992188
306.571040 52057.000000 332.844055 51686.160156
308.903260 52670.000000 338.599945 51650.464844
311.233340 52681.000000 346.388672 51671.304688
313.562930 52260.000000 368.636780 51590.425781
315.890440 52469.000000 392.586639 51539.160156
318.215790 52289.000000 419.136963 51548.386719
320.540680 52357.000000 462.788513 51573.781250
322.865110 52428.000000 514.710938 51600.652344
325.187410 52190.000000 555.014038 51575.738281
327.509250 52880.000000 597.095825 51589.644531
329.828920 53199.000000 655.618103 51625.710938
332.148160 53020.000000 725.742310 51717.804688
334.465270 53334.000000 807.747253 51776.441406
336.781950 53474.000000 903.794739 51825.500000
339.096470 53495.000000 1038.460327 51869.851562
341.408870 53967.000000 1205.669434 51998.843750
343.722530 54132.000000 1396.369873 52117.066406
346.032350 54690.000000 1648.650146 52269.781250
348.341740 55031.000000 1988.483643 52444.363281
350.650670 55982.000000 2472.054199 52688.605469
352.957460 56649.000000 3091.579346 52905.089844
355.263760 57678.000000 3832.029297 53125.503906
357.568020 58035.000000 4543.642578 53271.714844
359.871800 58654.000000 5131.756836 53447.492188
362.173430 58856.000000 5337.534668 53500.507812
364.474640 59294.000000 5312.932617 53626.269531
366.773710 58850.000000 5106.807617 53703.039062
369.072360 58438.000000 4995.375000 53840.683594
371.368870 58609.000000 4976.996582 53904.859375
373.664920 58732.000000 5093.518555 54027.503906
375.958890 59080.000000 5193.502441 54143.792969
378.252380 59356.000000 5384.950195 54266.585938
380.543790 59852.000000 5583.286133 54339.132812
382.834750 60149.000000 5814.875977 54457.324219
385.123570 60410.000000 5878.714355 54498.132812
387.411960 60431.000000 5789.502930 54562.554688
389.698210 60335.000000 5497.088379 54554.460938
391.984070 59908.000000 5079.895996 54622.796875
394.267790 59044.000000 4532.416992 54579.863281
396.551060 58318.000000 3914.270020 54562.054688
398.832210 57865.000000 3340.901611 54516.410156
401.112950 57582.000000 2893.637451 54512.730469
403.391570 57337.000000 2488.664307 54427.425781
405.669770 56847.000000 2127.390137 54403.398438
407.945860 56849.000000 1811.683228 54384.058594
410.221470 56273.000000 1574.328369 54394.195312
412.495030 56096.000000 1364.181030 54360.820312
414.768100 55995.000000 1195.274658 54347.535156
417.039090 55716.000000 1045.019897 54348.187500
