Raman_Shift Original_Spectrum Predicted_Raman Predicted_Baseline
294.894650 55069.000000 14.766917 54943.707031
297.232540 55014.000000 14.054273 54942.992188
299.568300 54919.000000 13.299202 54945.835938
301.905240 55035.000000 12.844255 54947.351562
304.238400 54899.000000 12.873892 54948.871094
306.571040 54739.000000 13.773207 54946.675781
308.903260 55387.000000 14.933054 54945.734375
311.233340 55347.000000 17.117046 54942.593750
313.562930 54946.000000 19.043795 54940.234375
315.890440 55099.000000 22.100666 54942.546875
318.215790 54767.000000 25.761526 54951.808594
320.540680 54690.000000 29.078480 54969.808594
322.865110 54775.000000 32.084316 54994.558594
325.187410 54533.000000 36.460815 55026.734375
327.509250 55113.000000 41.482838 55069.132812
329.828920 55156.000000 47.033710 55124.875000
332.148160 55190.000000 50.249500 55184.753906
334.465270 55326.000000 62.590538 55248.734375
336.781950 55237.000000 80.264160 55315.683594
339.096470 55244.000000 102.317787 55384.710938
341.408870 55485.000000 121.876633 55457.355469
343.722530 55424.000000 141.609314 55534.855469
346.032350 55849.000000 161.600815 55616.000000
348.341740 55677.000000 184.676804 55698.410156
350.650670 56069.000000 207.910980 55782.746094
352.957460 56159.000000 236.569977 55868.742188
355.263760 56348.000000 263.853210 55959.789062
357.568020 56167.000000 285.027893 56054.789062
359.871800 56430.000000 306.147766 56152.164062
362.173430 56503.000000 324.307831 56253.324219
364.474640 56878.000000 339.013519 56357.992188
366.773710 56804.000000 355.269775 56464.902344
369.072360 56522.000000 371.628815 56571.648438
371.368870 56659.000000 389.026550 56678.449219
373.664920 57001.000000 409.877106 56784.421875
375.958890 57223.000000 434.653656 56888.601562
378.252380 57430.000000 460.618256 56987.703125
380.543790 57472.000000 483.532074 57081.367188
382.834750 57574.000000 505.175537 57168.507812
385.123570 57719.000000 514.159790 57249.828125
387.411960 57818.000000 504.861145 57327.488281
389.698210 57982.000000 480.223053 57401.636719
391.984070 57987.000000 443.855560 57472.691406
394.267790 57904.000000 401.425110 57541.382812
396.551060 57780.000000 362.139587 57607.656250
398.832210 58081.000000 324.839935 57670.273438
401.112950 58060.000000 290.083466 57729.257812
403.391570 58336.000000 256.440826 57783.113281
405.669770 58167.000000 230.683807 57832.585938
407.945860 58516.000000 205.332596 57878.171875
410.221470 58210.000000 181.618088 57919.128906
412.495030 58291.000000 162.659973 57955.601562
414.768100 58319.000000 146.077728 57989.265625
417.039090 58249.000000 131.297974 58019.546875
419.309630 58053.000000 118.722549 58045.902344
421.579740 58131.000000 108.891541 58068.062500
423.846100 58151.000000 98.901634 58087.757812
426.113680 58072.000000 91.320969 58105.265625
428.377470 58373.000000 84.151794 58120.937500
430.642520 58079.000000 78.108078 58134.437500
432.905460 58446.000000 74.025314 58145.500000
435.166320 58244.000000 69.970024 58155.406250
437.426700 58256.000000 65.090584 58162.191406
439.685060 58247.000000 59.259590 58167.320312
441.942900 58030.000000 57.361877 58170.351562
444.198730 58423.000000 52.988201 58172.390625
446.454070 58323.000000 49.257805 58172.585938
448.708980 58386.000000 47.508369 58170.906250
450.961820 58406.000000 46.742432 58168.921875
453.212550 58179.000000 45.868404 58166.773438
455.462890 58160.000000 45.353840 58163.007812
457.711120 58415.000000 45.207184 58157.121094
459.958920 58288.000000 45.047619 58150.617188
462.204590 58373.000000 49.865063 58143.410156
464.449890 58098.000000 55.709435 58134.863281
466.694760 58339.000000 60.512115 58125.492188
468.937500 58121.000000 64.036324 58115.324219
471.178160 58147.000000 69.657120 58104.664062
473.418460 58235.000000 74.033798 58091.015625
475.656620 58145.000000 79.291901 58072.296875
477.894380 58320.000000 87.161560 58051.031250
480.131680 58044.000000 99.765373 58026.425781
482.366910 58027.000000 113.596298 57997.968750
484.600040 58195.000000 129.953156 57965.496094
486.832790 58129.000000 148.639069 57929.886719
489.063450 58473.000000 166.254578 57890.367188
491.293670 58129.000000 184.555450 57844.812500
493.523500 57913.000000 203.140091 57792.464844
495.751190 57896.000000 221.425949 57736.355469
497.976840 57983.000000 245.540817 57676.164062
500.202090 57813.000000 268.280212 57610.824219
502.426910 57691.000000 286.410828 57539.523438
504.649660 57620.000000 299.979767 57465.132812
506.870270 57823.000000 306.258728 57388.917969
509.090550 57213.000000 302.783234 57310.351562
511.310360 57315.000000 290.521729 57227.855469
513.528140 57632.000000 275.809509 57145.679688
515.743770 57234.000000 253.456268 57064.070312
517.959110 57114.000000 226.661377 56979.226562
520.173890 57135.000000 198.919556 56894.980469
522.386660 56868.000000 172.612686 56809.835938
524.597410 56608.000000 153.651001 56724.425781
526.807740 56456.000000 136.219330 56642.105469
529.017580 56587.000000 120.900772 56562.703125
531.225400 56604.000000 104.593651 56485.273438
533.431210 56429.000000 87.404343 56409.570312
535.636470 56287.000000 72.031937 56336.933594
537.841430 56134.000000 58.664825 56267.003906
540.044310 56219.000000 53.283855 56200.167969
542.245120 56391.000000 47.469704 56136.320312
544.445500 56265.000000 41.477066 56078.429688
546.645450 55977.000000 35.395565 56027.351562
548.843380 55800.000000 34.173378 55979.058594
551.040830 56131.000000 32.800461 55932.960938
553.236330 55927.000000 31.144730 55890.789062
555.429690 56079.000000 29.859406 55853.957031
557.622680 55932.000000 31.290192 55821.757812
